date,open,high,low,close,volume,Dividends,Stock Splits
2015/8/18,4556.22998,4562.149902,4536.049805,4542.069824,1501540000,0,0
2015/8/19,4525.319824,4550.669922,4486.109863,4510.899902,1785420000,0,0
2015/8/20,4467.790039,4484.359863,4385.129883,4385.129883,2087000000,0,0
2015/8/21,4313.189941,4361.319824,4197.27002,4197.27002,2768540000,0,0
2015/8/24,3847.120117,4199.790039,3787.22998,4038.600098,3498840000,0,0
2015/8/25,4187.279785,4207.379883,4015.909912,4016.320068,2612800000,0,0
2015/8/26,4141.240234,4227.859863,4052.540039,4219.600098,2631660000,0,0
2015/8/27,4281.629883,4328.990234,4231.140137,4324.819824,2358880000,0,0
2015/8/28,4307.049805,4340.700195,4295.560059,4329.120117,1936540000,0,0
2015/8/31,4299.879883,4324.740234,4262.089844,4274.580078,1839010000,0,0
2015/9/1,4177.939941,4229.310059,4121.830078,4142.629883,2253750000,0,0
2015/9/2,4207.680176,4256.22998,4166.080078,4256.22998,1929080000,0,0
2015/9/3,4267.339844,4300.299805,4222.379883,4234.649902,1803320000,0,0
2015/9/4,4175.620117,4210.810059,4160.430176,4184.720215,1574720000,0,0
2015/9/8,4267.399902,4306.5,4247.140137,4303.529785,1765600000,0,0
2015/9/9,4346.359863,4352.959961,4242.470215,4253.450195,1963750000,0,0
2015/9/10,4248.47998,4326.77002,4243.689941,4296.299805,1845770000,0,0
2015/9/11,4273.620117,4323.22998,4268.100098,4323.22998,1686190000,0,0
2015/9/14,4334.859863,4334.939941,4293.77002,4308.759766,1467740000,0,0
2015/9/15,4322.410156,4373.189941,4303.890137,4360.279785,1587460000,0,0
2015/9/16,4357.359863,4388.319824,4346.470215,4383.669922,1666380000,0,0
2015/9/17,4378.990234,4450.660156,4368.799805,4384.959961,1891510000,0,0
2015/9/18,4325.290039,4374.919922,4317.089844,4323.859863,3272150000,0,0
2015/9/21,4343.77002,4372.419922,4299.939941,4336.129883,2021530000,0,0
2015/9/22,4273.299805,4286.600098,4233.899902,4274.100098,2042880000,0,0
2015/9/23,4280.009766,4294.72998,4255.060059,4273.529785,1606330000,0,0
2015/9/24,4239.850098,4275.640137,4198.109863,4261.100098,1995820000,0,0
2015/9/25,4305.390137,4308.660156,4198.959961,4224.740234,2050530000,0,0
2015/9/28,4206.680176,4207.02002,4092.290039,4103.470215,2387610000,0,0
2015/9/29,4110.259766,4155.310059,4053.120117,4083.370117,2293450000,0,0
2015/9/30,4137.180176,4181.060059,4125.200195,4181.060059,2398350000,0,0
2015/10/1,4185.279785,4194.180176,4128.339844,4192.959961,2133990000,0,0
2015/10/2,4136.959961,4267.450195,4124.549805,4267.450195,2183320000,0,0
2015/10/5,4296.540039,4339.22998,4290.25,4331.430176,2005320000,0,0
2015/10/6,4315.319824,4332.029785,4273.700195,4306.700195,2085020000,0,0
2015/10/7,4331.870117,4342.589844,4279.209961,4333.459961,2149890000,0,0
2015/10/8,4316.180176,4358.089844,4275.589844,4350.149902,1984230000,0,0
2015/10/9,4355.240234,4378.259766,4341.509766,4370.009766,1804260000,0,0
2015/10/12,4378.640137,4389.77002,4363.959961,4382.560059,1343820000,0,0
2015/10/13,4354.060059,4399.930176,4349.180176,4352.939941,1565060000,0,0
2015/10/14,4356.819824,4373.709961,4328.959961,4346.919922,1902460000,0,0
2015/10/15,4361.97998,4418.25,4357.220215,4418.220215,1942900000,0,0
2015/10/16,4419.950195,4438.75,4405.879883,4438.620117,1855290000,0,0
2015/10/19,4428.060059,4464.779785,4420.799805,4462.069824,1619920000,0,0
2015/10/20,4454.620117,4463.109863,4424.339844,4438.180176,1711700000,0,0
2015/10/21,4462.220215,4464.72998,4409.899902,4413.52002,1895390000,0,0
2015/10/22,4451.319824,4504.700195,4438.600098,4503.220215,2156040000,0,0
2015/10/23,4623.720215,4645.959961,4598.740234,4624.089844,2178270000,0,0
2015/10/26,4621.140137,4638.75,4606.660156,4630.850098,1758690000,0,0
2015/10/27,4617.600098,4645.939941,4617.439941,4639.22998,1986840000,0,0
2015/10/28,4649.100098,4678.580078,4609.930176,4678.580078,2141130000,0,0
2015/10/29,4657.779785,4678.200195,4653,4670.759766,1928310000,0,0
2015/10/30,4676.299805,4681.22998,4648.830078,4648.830078,2016390000,0,0
2015/11/2,4658.790039,4707.77002,4652.450195,4703.919922,1888180000,0,0
2015/11/3,4692.029785,4735.310059,4685.97998,4719.049805,2028630000,0,0
2015/11/4,4729.069824,4737.120117,4698.839844,4717.549805,2096110000,0,0
2015/11/5,4718.509766,4731.560059,4678.790039,4702.899902,2054490000,0,0
2015/11/6,4695.879883,4710.470215,4665.410156,4707.22998,2066430000,0,0
2015/11/9,4687.350098,4694.27002,4627.120117,4655.52002,1850770000,0,0
2015/11/10,4628.830078,4647.319824,4616.709961,4641.72998,1906120000,0,0
2015/11/11,4657.189941,4677.779785,4631.060059,4636.939941,1672340000,0,0
2015/11/12,4617.779785,4639.259766,4588.080078,4588.930176,1820930000,0,0
2015/11/13,4566.120117,4575.799805,4499.149902,4502.140137,2001050000,0,0
2015/11/16,4494.560059,4566.029785,4486.089844,4565.470215,1819190000,0,0
2015/11/17,4571.549805,4598.27002,4554.890137,4565.819824,1861710000,0,0
2015/11/18,4586.240234,4657.629883,4580.720215,4653.439941,2017390000,0,0
2015/11/19,4657.609863,4678.02002,4648.939941,4655.350098,1794110000,0,0
2015/11/20,4680.509766,4691.589844,4674.609863,4686.359863,1766630000,0,0
2015/11/23,4689.97998,4706.620117,4655.600098,4674.790039,1668280000,0,0
2015/11/24,4645.52002,4682.129883,4621.629883,4669.410156,1956920000,0,0
2015/11/25,4674.22998,4683.549805,4666.240234,4672.879883,1539300000,0,0
2015/11/27,4680.439941,4689.580078,4665.919922,4680.470215,781730000,0,0
2015/11/30,4692.569824,4695.060059,4654.529785,4664.509766,2223880000,0,0
2015/12/1,4685.740234,4716.160156,4682.399902,4716.160156,2035570000,0,0
2015/12/2,4720.27002,4739.75,4680.060059,4686.220215,2060340000,0,0
2015/12/3,4704.200195,4705.779785,4579.910156,4606.75,2088100000,0,0
2015/12/4,4621.47998,4722.390137,4612.109863,4716.120117,1897490000,0,0
2015/12/7,4718.549805,4720.819824,4671.870117,4693.620117,1952690000,0,0
2015/12/8,4646.430176,4708.470215,4643.649902,4694.77002,1871450000,0,0
2015/12/9,4674.799805,4698.25,4595.009766,4622.140137,2003450000,0,0
2015/12/10,4627.77002,4674,4619.97998,4643.049805,1746520000,0,0
2015/12/11,4583.080078,4600.910156,4534.049805,4537.560059,2084950000,0,0
2015/12/14,4535.560059,4571.569824,4478.25,4570.160156,2196060000,0,0
2015/12/15,4607.200195,4636.77002,4592.720215,4597.330078,2054710000,0,0
2015/12/16,4633.850098,4673.540039,4582.870117,4664.560059,2016610000,0,0
2015/12/17,4680.629883,4681.129883,4597.649902,4598.140137,1897220000,0,0
